,Price,Area,No. of Bedrooms,New/Resale,Gymnasium,Lift Available,Car Parking,Maintenance Staff,24x7 Security,Children's Play Area,Clubhouse,Intercom,Landscaped Gardens,Indoor Games,Jogging Track,Swimming Pool,Average_price_per_sq_ft,Andheri,Badlapur,Boisar,Borivali,Chembur,Dahisar,Dombivli,Ghatkopar,Goregaon,Kalyan,Kamothe,Kandivali,Kharghar,Malad,Mira Road,Mulund,Naigaon,Nala Sopara,Panvel,Parle,Powai,Taloja,Thane,Ulwe,Vasai,Virar
4493,8600000,1150,2,1,1,1,0,0,0,1,1,1,0,0,0,0,13217.986640127636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1020,10000000,1150,2,0,1,1,1,1,1,0,1,0,0,0,0,0,11378.827707167562,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
558,18500000,1150,2,0,0,1,0,1,1,0,0,0,0,0,0,0,12517.427219084591,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1023,10500000,1150,2,0,1,1,1,1,1,0,1,0,0,0,0,0,11378.827707167562,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2830,19400000,1150,2,0,1,1,1,0,1,1,1,1,1,1,1,1,13218.2759846628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
219,8500000,1150,2,0,1,1,1,1,1,0,0,0,0,0,0,0,11533.32520851746,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1719,14500000,1150,2,0,1,1,1,0,1,1,1,1,1,1,1,1,14218.652950020318,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3468,18500000,1150,3,0,0,0,0,0,0,0,0,0,0,0,0,0,20301.178301132168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1868,13000000,1150,3,0,1,1,0,0,0,1,1,1,1,0,0,1,14218.652950020318,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
208,9200000,1150,2,0,1,1,1,1,1,0,0,0,0,0,0,0,11533.32520851746,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3703,18500000,1150,2,1,1,1,0,0,0,1,1,1,1,0,0,1,13163.757647515911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
713,12600000,1150,2,0,0,1,1,1,1,0,1,0,0,0,0,0,12356.683791843734,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4246,15500000,1150,2,1,1,1,1,0,0,1,1,1,1,1,1,1,11765.208380209506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1922,7500000,1150,2,0,1,1,1,0,1,0,1,0,0,0,0,0,14218.652950020318,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1913,19500000,1150,2,1,1,1,1,0,1,0,1,0,0,0,1,1,14218.652950020318,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3342,9000000,1150,2,1,0,1,0,0,0,0,0,1,0,0,0,0,8172.410045428118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3516,13000000,1150,2,0,0,1,0,0,0,1,0,0,0,0,0,0,20301.178301132168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3292,12000000,1150,3,0,1,1,1,0,1,0,1,1,1,1,0,0,9286.166981726528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
167,12100000,1150,2,1,1,1,1,0,1,1,0,1,0,0,1,1,11533.32520851746,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4364,9700000,1150,2,1,0,0,0,0,0,0,0,0,0,0,0,0,9470.592654222006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4238,19000000,1150,2,1,1,1,0,0,1,1,1,1,1,1,1,1,11765.208380209506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3519,16700000,1150,2,1,1,1,1,0,1,1,1,1,0,0,1,1,20301.178301132168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
