,Price per sqft,Price,Area,No. of Bedrooms,New/Resale,Gymnasium,Lift Available,Car Parking,Maintenance Staff,24x7 Security,Children's Play Area,Clubhouse,Intercom,Landscaped Gardens,Indoor Games,Gas Connection,Jogging Track,Swimming Pool,Average_price_per_sq_ft,Andheri,Badlapur,Boisar,Borivali,Chembur,Dahisar,Dombivli,Ghatkopar,Goregaon,Kalyan,Kamothe,Kandivali,Kharghar,Malad,Mira Road,Mulund,Naigaon,Nala Sopara,Panvel,Parle,Powai,Taloja,Thane,Ulwe,Vasai,Virar
146,8771.929824561403,5000000,570,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,11533.325208517459,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,8208.955223880597,5500000,670,1,0,1,1,1,1,1,0,1,0,1,0,0,1,1,11533.325208517459,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,6718.75,4300000,640,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1,11533.325208517459,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,9117.64705882353,15500000,1700,3,0,1,1,1,1,1,1,1,1,0,0,1,1,1,11533.325208517459,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,7354.838064516129,11399999,1550,3,0,0,1,1,1,1,0,0,1,1,0,0,0,0,11533.325208517459,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,7843.137254901961,12000000,1530,3,0,1,1,1,1,1,1,1,1,0,0,0,1,1,11533.325208517459,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,9142.857142857143,16000000,1750,3,0,0,1,1,1,1,0,0,1,0,0,1,0,0,11533.325208517459,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,13836.477987421384,22000000,1590,3,0,1,1,1,1,1,1,1,1,0,1,0,1,1,11533.325208517459,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,7773.851590106007,11000000,1415,3,0,1,1,1,1,1,1,1,1,1,1,0,1,1,11533.325208517459,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,10060.60606060606,16600000,1650,3,0,1,1,1,1,1,0,1,1,0,0,1,1,1,11533.325208517459,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,8298.755186721992,14000000,1687,3,0,1,1,1,1,1,1,1,1,1,1,1,1,1,11533.325208517459,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,7391.304347826087,8500000,1150,2,0,1,1,1,1,1,1,1,1,0,1,0,1,1,11533.325208517459,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,10810.81081081081,6000000,555,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,11533.325208517459,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,8166.666666666667,4900000,600,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,11533.325208517459,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,6501.547987616099,4200000,646,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,11533.325208517459,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,6923.076923076923,4500000,650,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,11533.325208517459,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,6718.75,4300000,640,1,0,1,1,1,1,1,0,1,1,0,0,0,1,1,11533.325208517459,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,8461.538461538461,5500000,650,1,0,0,1,1,1,1,0,0,1,1,0,1,0,0,11533.325208517459,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,9642.857142857143,13500000,1400,3,0,1,1,1,1,1,1,1,1,0,0,1,1,1,11533.325208517459,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,8426.966292134832,15000000,1780,3,0,1,1,1,1,1,0,1,1,0,0,0,1,1,11533.325208517459,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,8298.755186721992,14000000,1687,3,0,1,1,1,1,1,1,1,0,1,1,1,1,1,11533.325208517459,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,6272.727272727273,6900000,1100,2,0,0,1,1,1,1,0,0,1,1,0,0,0,0,11533.325208517459,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,7904.761904761905,8300000,1050,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1,11533.325208517459,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,7758.620689655172,9000000,1160,2,0,1,1,1,1,1,0,1,1,1,0,0,1,1,11533.325208517459,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,7285.714285714285,5100000,700,1,0,0,1,1,1,1,0,0,1,1,0,1,0,0,11533.325208517459,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,8320.0,5200000,625,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,11533.325208517459,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,8208.955223880597,5500000,670,1,0,1,1,1,1,1,0,1,1,1,0,0,1,1,11533.325208517459,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,10000.0,5500000,550,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,11533.325208517459,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,8307.692307692309,5400000,650,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,11533.325208517459,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,8030.30303030303,5300000,660,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,11533.325208517459,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,10000.0,5500000,550,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,11533.325208517459,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,8771.929824561403,5000000,570,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,11533.325208517459,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,9032.258064516129,14000000,1550,3,0,1,1,1,1,1,1,1,1,1,1,0,1,1,11533.325208517459,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,9715.90909090909,17100000,1760,3,0,1,1,1,1,1,1,1,0,0,0,0,1,1,11533.325208517459,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,8000.0,11800000,1475,3,0,1,1,1,1,1,1,1,1,1,1,0,1,1,11533.325208517459,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,7905.138339920949,6000000,759,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,11533.325208517459,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,8083.333333333333,4850000,600,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,11533.325208517459,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,8181.818181818182,4500000,550,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,11533.325208517459,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,6612.903225806452,4100000,620,1,0,1,1,1,1,1,0,0,1,0,0,0,0,1,11533.325208517459,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,9090.90909090909,5000000,550,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,11533.325208517459,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,7382.5503355704695,5500000,745,1,0,0,1,1,1,1,1,0,1,1,0,0,1,0,11533.325208517459,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,7758.620689655172,4500000,580,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,11533.325208517459,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
